1|G1|SimpleTour|1|Wooooohoooo|espanol|10|1,2,3|1|image1,image2
2|G1|Trip|6|This do be fun|english|10|4,5|2|small
3|G1|ComplicatedTour|3|This do be long|all|100|6,7,8,9,10,11,12|10|streetimg,anotherimg,lakeimg,ghostimg,blankimg
4|G1|ZvornikCity|7|Podjite sa nama i otkrijte sve cari ovog grada koji datira iz 1410. Prvi put se pominje u spisima o lopovima iz Dubrovnika. Mozete ga obici za 20 minuta ako zurite.|Serbian, English, Latin|20|13,14,15,16,17,18,19|1|
5|G1||8|||0|20,21|0|
6|G1|Test|3|dasdasd|sadsad|2|22,23,24,25|2|asdasd,asdasd
7|G1|asd|9|asd|asd|2|26,27|2|
8|G1|asd|10|asd|asd|2|28,29|2|
9|G1|ad|11|asd|asd|2|30,31|2|
10|G1|Test|12|dsa|dasd|2|32,33|2|asd,asd
